,Height,Label,Score,Width,filenames,x,y
1212,2016,sign,0.34814,780,Person34_35,1492,11
1213,726,blueSunglasses,0.31971,1533,Person34_35,1103,605
1214,1754,cupcakePaper,0.26764,1506,Person34_24,14,1281
1215,2289,sign,0.28741,1008,Person34_24,3038,464
1216,535,lavenderDie,0.31925,377,Person34_24,1385,1129
1217,1492,birdCall,0.32134,1439,Person34_29,1721,1079
1218,787,cloudSign,0.30417,686,Person34_29,2070,1422
1219,1472,cupcakePaper,0.28268000000000004,1748,Person34_29,2299,11
1220,474,eyeball,0.26976,753,Person34_29,2352,1381
1221,1281,partyFavor,0.31587,1465,Person34_29,2299,11
1222,817,pinkCandle,0.25329,390,Person34_29,2850,11
1223,1926,pumpkinNotes,0.26657,1573,Person34_29,1640,1089
1224,464,blueSunglasses,0.33764,1304,Person34_29,363,1583
1225,1029,hairClip,0.39319,1116,Person34_29,1896,908
1226,2006,cupcakePaper,0.28965,1640,Person34_38,471,1029
1227,1432,partyFavor,0.36821,1654,Person34_38,1331,51
1228,2692,sign,0.26627,619,Person34_38,2715,252
1229,1321,cloudSign,0.26394,928,Person34_25,1721,918
1230,1190,eyeball,0.39998,1385,Person34_25,1465,807
1231,1260,pumpkinNotes,0.4166,2003,Person34_25,1156,1190
1232,454,blueSunglasses,0.36451,1425,Person34_25,1452,1381
1233,1482,stickerBox,0.42332,1129,Person34_25,1600,908
1234,1222,canadaPencil,0.45474,744,Person14_9,188,112
1235,534,cloudSign,0.27931999999999996,364,Person14_9,452,459
1236,752,metalKey,0.47351000000000004,628,Person14_9,328,363
1237,1030,noisemaker,0.28160999999999997,928,Person14_9,180,230
1238,891,partyFavor,0.3041,464,Person14_9,152,192
1239,592,pinkCandle,0.36838000000000004,176,Person14_9,384,336
1240,1366,sign,0.40451,392,Person14_9,192,6
1241,731,cloudSign,0.28947,388,Person14_7,272,358
1242,347,eyeball,0.38642,304,Person14_7,312,459
1243,139,blueSunglasses,0.36830999999999997,280,Person14_7,416,774
1244,902,birdCall,0.28026999999999996,648,Person14_1,148,6
1245,880,cloudSign,0.26069000000000003,480,Person14_1,396,406
1246,326,eyeball,0.31266,260,Person14_1,336,918
1247,998,sign,0.31406,292,Person14_1,844,608
1248,155,blueSunglasses,0.25643,272,Person14_1,80,1227
1249,1099,canadaPencil,0.33985,736,Person14_8,108,59
1250,491,cloudSign,0.31123,328,Person14_8,128,1051
1251,534,eyeball,0.25874,288,Person14_8,152,720
1252,774,metalKey,0.28826999999999997,536,Person14_8,204,240
1253,587,pinkCandle,0.30615,184,Person14_8,292,224
1254,1339,sign,0.3573,376,Person14_8,196,6
1255,1110,silverStraw,0.29802,868,Person14_8,32,64
1256,1072,pumpkinNotes,0.79328,552,Person14_11,452,192
1257,134,blueSunglasses,0.28801,432,Person14_11,516,784
1258,848,birdCall,0.46585,520,Person14_12,296,758
1259,1115,cloudSign,0.45865,460,Person14_12,236,182
1260,352,eyeball,0.25290999999999997,436,Person14_12,76,347
1261,432,pinkCandle,0.28196,68,Person14_12,508,416
1262,944,pumpkinNotes,0.68242,580,Person14_12,264,662
1263,256,blueSunglasses,0.30517,340,Person14_12,476,1062
1264,992,cupcakePaper,0.2716,500,Person14_19,704,587
1265,1216,sign,0.25418,304,Person14_19,488,390
1266,939,birdCall,0.28156,560,Person14_4,280,614
1267,278,eyeball,0.37844,340,Person14_4,380,838
1268,470,pinkCandle,0.30441999999999997,184,Person14_4,464,48
1269,1536,sign,0.41641000000000006,264,Person14_4,936,6
1270,1254,silverStraw,0.25640999999999997,524,Person14_4,680,219
1271,208,blueSunglasses,0.26127,316,Person14_4,312,742
1272,283,lavenderDie,0.49701000000000006,132,Person14_4,568,944
1273,736,stickerBox,0.36114,360,Person14_4,292,491
1274,1003,yellowBag,0.38769000000000003,840,Person14_4,364,6
1275,806,birdCall,0.32405,436,Person14_13,768,566
1276,427,pinkCandle,0.31076,96,Person14_13,592,544
1277,1344,sign,0.34536999999999995,556,Person14_13,280,64
1278,934,yellowBag,0.29971,856,Person14_13,128,6
1279,368,eyeball,0.2564,284,Person14_14,852,1030
1280,598,trophy,0.27529000000000003,496,Person14_14,56,1008
1281,608,cloudSign,0.34578000000000003,376,Person14_5,456,656
1282,379,eyeball,0.5376,324,Person14_5,472,662
1283,416,redWhistle,0.49805,376,Person14_5,444,758
1284,1110,sign,0.51523,320,Person14_5,140,6
1285,1099,silverStraw,0.28283,600,Person14_5,80,6
1286,192,blueSunglasses,0.3975,292,Person14_5,496,870
1287,539,hairClip,0.28299,260,Person14_5,512,704
1288,192,lavenderDie,0.28729,96,Person14_5,580,758
1289,528,stickerBox,0.28989000000000004,336,Person14_5,480,715
1290,1003,yellowBag,0.31903000000000004,584,Person14_5,620,6
1291,662,birdCall,0.25232,532,Person14_17,548,944
1292,614,pinkCandle,0.45448,76,Person14_17,428,326
1293,598,hairClip,0.26464,296,Person14_17,64,566
1294,416,eyeball,0.27516,400,Person14_18,198,520
1295,224,lavenderDie,0.39624000000000004,166,Person14_18,304,4
1296,812,yellowBag,0.31458,907,Person14_18,6,4
1297,411,pinkCandle,0.2845,156,Person14_3,736,310
1298,240,lavenderDie,0.55948,112,Person14_3,412,619
1299,1200,yellowBag,0.29667,708,Person14_3,376,139
1300,1184,canadaPencil,0.27714,836,Person14_10,228,422
1301,646,metalKey,0.31742,520,Person14_10,216,646
1302,502,pinkCandle,0.30751999999999996,144,Person14_10,404,720
1303,704,birdCall,0.5856600000000001,448,Person14_15,756,6
1304,528,cloudSign,0.26327,268,Person14_15,848,6
1305,822,cupcakePaper,0.27399,492,Person14_15,480,784
1306,390,eyeball,0.39375,304,Person14_15,228,427
1307,1030,canadaPencil,0.2795,696,Person14_16,212,6
1308,299,blueSunglasses,0.37337,480,Person14_16,60,934
1309,838,cloudSign,0.5377,392,Person14_6,444,320
1310,379,eyeball,0.26475,284,Person14_6,416,438
1311,491,pinkCandle,0.32725,112,Person14_6,584,384
1312,555,pumpkinNotes,0.25077,540,Person14_6,372,342
1313,1179,sign,0.28388,352,Person14_6,472,427
1314,182,blueSunglasses,0.3775,364,Person14_6,464,534
1315,534,stickerBox,0.29654,176,Person14_6,552,368
1316,2258,birdCall,0.39652,1402,Person2_8,1341,162
1317,1439,cloudSign,0.26371,706,Person2_8,615,1694
1318,1210,metalKey,0.43177,988,Person2_8,474,2124
1319,1519,pinkCandle,0.33862,263,Person2_8,2349,538
1320,2581,sign,0.26700999999999997,545,Person2_8,918,1465
1321,941,blueSunglasses,0.26741,988,Person2_8,1543,1116
1322,2836,yellowBag,0.31081,1875,Person2_8,1109,1210
1323,1613,birdCall,0.28786999999999996,1291,Person2_3,1506,1230
1324,676,eyeball,0.28531999999999996,968,Person2_3,1936,1281
1325,1845,metalKey,0.30188000000000004,1667,Person2_3,1049,252
1326,1119,pinkCandle,0.29134,498,Person2_3,1909,1714
1327,756,blueSunglasses,0.48097,1412,Person2_3,1439,1019
1328,1049,hairClip,0.81155,1035,Person2_3,1076,474
1329,1906,yellowBag,0.29046,2232,Person2_3,14,1129
1330,2016,birdCall,0.5295,1640,Person2_9,1922,11
1331,1432,cupcakePaper,0.26386,1627,Person2_9,1922,1603
1332,1230,redWhistle,0.31121,1116,Person2_9,1869,132
1333,686,blueSunglasses,0.33641,1304,Person2_9,2097,404
1334,525,lavenderDie,0.35717,417,Person2_9,2809,908
1335,2205,birdCall,0.43259,1482,Person2_6,1321,1627
1336,2984,pumpkinNotes,0.40529,1623,Person2_6,384,941
1337,1721,silverStraw,0.3734,2480,Person2_6,555,14
1338,2258,trophy,0.28755,1291,Person2_6,1402,1627
1339,1264,blueSunglasses,0.47513999999999995,1240,Person2_6,1220,1237
1340,1627,hairClip,0.51071,847,Person2_6,1422,1076
1341,2460,yellowBag,0.40124,2016,Person2_6,182,1197
1342,1828,birdCall,0.35825,817,Person2_10,1008,363
1343,1492,cloudSign,0.34301,797,Person2_10,787,511
1344,995,eyeball,0.3669,777,Person2_10,1008,793
1345,1264,pinkCandle,0.33873000000000003,252,Person2_10,1049,659
1346,1210,hairClip,0.4574,696,Person2_10,847,713
1347,807,lavenderDie,0.52262,444,Person2_10,958,861
1348,3011,yellowBag,0.37851,2107,Person2_10,353,1035
1349,1644,birdCall,0.44808000000000003,1882,Person2_7,1506,777
1350,918,cloudSign,0.36795,1492,Person2_7,552,1371
1351,817,eyeball,0.30921,753,Person2_7,619,1412
1352,1301,metalKey,0.3173,1479,Person2_7,552,1180
1353,1442,partyFavor,0.40938,1828,Person2_7,941,484
1354,1029,pinkCandle,0.25873,431,Person2_7,780,1321
1355,1674,pumpkinNotes,0.3095,1855,Person2_7,2084,575
1356,656,blueSunglasses,0.39145,1573,Person2_7,1385,1281
1357,1250,cloudSign,0.25115,736,Person2_12,1674,54
1358,1103,eyeball,0.30669,1029,Person2_12,1724,2164
1359,1318,metalKey,0.25025,1220,Person2_12,1230,2070
1360,1506,pinkCandle,0.28398,454,Person2_12,1613,1976
1361,498,blueSunglasses,0.33221,1089,Person2_12,1069,2487
1362,2030,cloudSign,0.42798,1129,Person2_2,1472,1680
1363,888,eyeball,0.62058,837,Person2_2,1200,1425
1364,1600,metalKey,0.44601,1220,Person2_2,575,1640
1365,1076,pinkCandle,0.33132,283,Person2_2,1674,2191
1366,592,blueSunglasses,0.26218,797,Person2_2,1008,1546
1367,2326,yellowBag,0.34509,1432,Person2_2,11,1721
1368,1936,birdCall,0.26671999999999996,1654,Person2_4,11,2111
1369,1197,cloudSign,0.3098,736,Person2_4,605,2850
1370,2796,cupcakePaper,0.27123,1019,Person2_4,11,1250
1371,3038,noisemaker,0.63847,2400,Person2_4,636,928
1372,1412,pinkCandle,0.2627,363,Person2_4,1220,2312
1373,3696,sign,0.38132,938,Person2_4,283,269
1374,1761,birdCall,0.39196,1059,Person2_14,1089,14
1375,1358,cloudSign,0.38122,625,Person2_14,1089,565
1376,914,eyeball,0.29549000000000003,605,Person2_14,1533,283
1377,1613,metalKey,0.5163,1220,Person2_14,1220,14
1378,2783,sign,0.73037,817,Person2_14,1644,1264
1379,2500,silverStraw,0.40248,1583,Person2_14,1250,1546
1380,1277,blueSunglasses,0.5533100000000001,1381,Person2_14,928,363
1381,1627,hairClip,0.67796,867,Person2_14,968,242
1382,2783,yellowBag,0.29822,1694,Person2_14,767,1264
1383,2232,canadaPencil,0.25771,1815,Person2_15,716,135
1384,2178,sign,0.34963,726,Person2_15,11,1869
1385,1744,birdCall,0.38039,2043,Person2_5,1156,504
1386,1381,cloudSign,0.40003,1465,Person2_5,1990,686
1387,746,eyeball,0.45715,1076,Person2_5,1049,585
1388,1512,metalKey,0.42888999999999994,1963,Person2_5,874,867
1389,968,pinkCandle,0.47303999999999996,552,Person2_5,1304,484
1390,1472,trophy,0.32122,1506,Person2_5,1129,686
1391,585,blueSunglasses,0.43105,1492,Person2_5,834,1543
1392,1089,hairClip,0.3549,982,Person2_5,2218,877
1393,1875,yellowBag,0.38793,2030,Person2_5,2016,1109
1394,2258,birdCall,0.29581999999999997,1502,Person2_1,1301,1586
1395,955,eyeball,0.25087,565,Person2_1,1543,283
1396,2998,pumpkinNotes,0.46793,1744,Person2_1,1160,14
1397,1250,redWhistle,0.50576,918,Person2_1,1563,2366
1398,2527,yellowBalloon,0.26463000000000003,1573,Person2_1,1079,14
1399,2218,birdCall,0.31342,1381,Person2_11,928,14
1400,3441,canadaPencil,0.3148,1795,Person2_11,1150,108
1401,1707,cloudSign,0.32516,928,Person2_11,1129,404
1402,1519,metalKey,0.28149,1119,Person2_11,1492,242
1403,2030,partyFavor,0.28713,1069,Person2_11,1069,27
1404,1600,pinkCandle,0.31005,404,Person2_11,2077,1654
1405,592,blueSunglasses,0.32747,807,Person2_11,1432,968
1406,713,lavenderDie,0.25426,323,Person2_11,575,2057
1407,2003,yellowBag,0.45969,1896,Person2_11,454,2043
1408,3387,canadaPencil,0.3381,1432,Person2_13,273,417
1409,2003,cloudSign,0.28815999999999997,797,Person2_13,998,14
1410,874,eyeball,0.37056,767,Person2_13,1885,874
1411,1465,pinkCandle,0.30589,313,Person2_13,1896,565
1412,3132,sign,0.2991,726,Person2_13,817,283
1413,632,lavenderDie,0.3083,283,Person2_13,1240,404
1414,1210,cloudSign,0.46176999999999996,1262,Person19_5,1763,738
1415,576,eyeball,0.26777,1659,Person19_5,1193,1325
1416,1763,pumpkinNotes,0.29721,2627,Person19_5,1089,231
1417,1233,redWhistle,0.6583399999999999,1608,Person19_5,1210,1475
1418,1521,trophy,0.25764000000000004,2005,Person19_5,1435,358
1419,404,blueSunglasses,0.25989,1210,Person19_5,1798,911
1420,1417,hairClip,0.60544,1279,Person19_5,1763,669
1421,1037,eyeball,0.81419,1504,Person19_1,2005,841
1422,1268,redWhistle,0.38749,2005,Person19_1,1400,703
1423,358,blueSunglasses,0.50227,1037,Person19_1,1884,1176
1424,1268,hairClip,0.5581,1176,Person19_1,1832,726
1425,542,lavenderDie,0.60364,657,Person19_1,2074,1083
1426,2546,yellowBag,0.32871999999999996,3387,Person19_1,346,922
1427,1164,cloudSign,0.30036999999999997,985,Person19_6,2281,1740
1428,1717,pinkCandle,0.30298,312,Person19_6,2281,1003
1429,1337,redWhistle,0.31935,1590,Person19_6,2316,427
1430,2351,sign,0.26793,1072,Person19_6,2247,646
1431,1947,birdCall,0.3775,2558,Person19_7,1867,1371
1432,1832,canadaPencil,0.25164000000000003,1798,Person19_7,2247,1636
1433,1291,cloudSign,0.35404,1677,Person19_7,1919,450
1434,1740,cupcakePaper,0.3073,2212,Person19_7,2057,1222
1435,3387,paperPlate,0.39782,4977,Person19_7,18,81
1436,1118,pinkCandle,0.30016,381,Person19_7,2195,288
1437,2005,pumpkinNotes,0.31079,2385,Person19_7,2299,1083
1438,2512,sign,0.29914,934,Person19_7,1953,565
1439,1095,blueSunglasses,0.46407,1919,Person19_7,1072,2040
1440,2178,stickerBox,0.53108,1815,Person19_7,2592,1256
1441,1775,cloudSign,0.28984,1452,Person19_3,1677,957
1442,565,eyeball,0.34603,1556,Person19_3,1608,81
1443,1394,pinkCandle,0.37156999999999996,346,Person19_3,2264,911
1444,2304,sign,0.26414,623,Person19_3,2109,680
1445,1152,eyeball,0.7954100000000001,1521,Person19_2,1625,1533
1446,1348,redWhistle,0.28738,1867,Person19_2,1089,1394
1447,2005,trophy,0.31845,1798,Person19_2,1158,841
1448,461,blueSunglasses,0.39383,1124,Person19_2,1832,1855
1449,1222,hairClip,0.7982,1262,Person19_2,1400,1510
1450,565,lavenderDie,0.44578,588,Person19_2,1728,1809
1451,2477,yellowBag,0.5090899999999999,3560,Person19_2,1642,841
1452,1855,birdCall,0.27544,2506,Person19_8,1538,1406
1453,1878,canadaPencil,0.26484,2402,Person19_8,87,1590
1454,1199,cloudSign,0.34857,1296,Person19_8,1020,1475
1455,2477,cupcakePaper,0.31901999999999997,2420,Person19_8,1193,841
1456,3456,paperPlate,0.53799,4044,Person19_8,363,12
1457,2189,pumpkinNotes,0.29245,2644,Person19_8,726,1279
1458,2950,sign,0.26655999999999996,674,Person19_8,3197,519
1459,1164,blueSunglasses,0.44605,2074,Person19_8,985,2005
1460,2339,stickerBox,0.3272,1746,Person19_8,2644,1129
1461,1164,cloudSign,0.4184,1055,Person19_4,1849,507
1462,1809,pumpkinNotes,0.26976999999999995,2437,Person19_4,1210,208
1463,1049,redWhistle,0.6895600000000001,1331,Person19_4,1659,1325
1464,1233,sign,0.30791,916,Person19_4,1953,2235
1465,1867,trophy,0.33631,2333,Person19_4,1245,196
1466,369,blueSunglasses,0.28474,1435,Person19_4,1694,911
1467,1521,hairClip,0.47941000000000006,1625,Person19_4,1608,381
1468,1200,cupcakePaper,0.25981,1427,Person11_13,14,498
1469,1290,canadaPencil,0.2834,1787,Person11_25,1827,516
1470,792,cloudSign,0.46673000000000003,1360,Person11_25,1467,1014
1471,492,eyeball,0.27748,1267,Person11_25,94,1242
1472,798,pinkCandle,0.41039,387,Person11_25,2240,696
1473,984,pumpkinNotes,0.50779,1600,Person11_25,1640,6
1474,1368,sign,0.36151,827,Person11_25,2307,438
1475,390,eyeball,0.26978,1454,Person11_24,254,1416
1476,606,pinkCandle,0.31348000000000004,347,Person11_24,827,918
1477,882,cloudSign,0.31318,1120,Person11_2,1867,378
1478,1128,cupcakePaper,0.33226,1454,Person11_2,14,528
1479,696,metalKey,0.39061999999999997,1574,Person11_2,1347,228
1480,810,birdCall,0.30646999999999996,1547,Person11_23,1374,162
1481,600,pinkCandle,0.25803000000000004,254,Person11_23,2280,414
1482,1050,pumpkinNotes,0.55088,1614,Person11_23,1320,180
1483,1200,sign,0.37327,1347,Person11_23,2320,6
1484,918,trophy,0.36429,1827,Person11_23,1520,390
1485,270,blueSunglasses,0.35694000000000004,1014,Person11_23,1640,696
1486,768,hairClip,0.41853999999999997,1160,Person11_23,1267,330
1487,840,cloudSign,0.42112,1454,Person11_30,840,6
1488,630,pinkCandle,0.27455,467,Person11_30,2747,912
1489,1176,pumpkinNotes,0.28386999999999996,1494,Person11_30,534,630
1490,1464,sign,0.41944,1227,Person11_30,2387,342
1491,1374,silverStraw,0.29186999999999996,1360,Person11_30,2307,384
1492,1110,cupcakePaper,0.28343,1734,Person11_9,134,144
1493,318,eyeball,0.26932,840,Person11_9,2000,804
1494,1488,sign,0.26655999999999996,587,Person11_9,987,6
1495,738,cloudSign,0.55604,1160,Person11_28,2120,576
1496,498,pinkCandle,0.3816,467,Person11_28,2200,594
1497,570,redWhistle,0.30446,1067,Person11_28,2947,1236
1498,1482,sign,0.5586800000000001,1307,Person11_28,347,6
1499,750,cloudSign,0.33737,987,Person11_11,3027,966
1500,1062,cupcakePaper,0.31966999999999995,1894,Person11_11,614,744
1501,378,eyeball,0.26191,974,Person11_11,3040,1050
1502,1338,sign,0.48463999999999996,1214,Person11_11,1534,6
1503,774,cloudSign,0.44418,1200,Person11_26,1547,690
1504,738,pinkCandle,0.34529,267,Person11_26,2014,588
1505,1080,cupcakePaper,0.35406,1880,Person11_12,627,726
1506,426,eyeball,0.31426,1080,Person11_12,2760,1014
1507,1236,sign,0.5061899999999999,1054,Person11_12,1894,6
1508,894,cloudSign,0.30221,1547,Person11_15,1934,768
1509,1224,cupcakePaper,0.35724,1614,Person11_15,480,474
1510,1776,sign,0.29298,800,Person11_15,1747,6
1511,1194,cupcakePaper,0.31978,1800,Person11_6,1800,612
1512,1134,sign,0.46162,947,Person11_6,1094,6
1513,1386,silverStraw,0.27971,2200,Person11_6,467,6
1514,384,pinkCandle,0.26619,214,Person11_16,1160,1296
1515,1056,sign,0.46626999999999996,1134,Person11_16,720,750
1516,744,hairClip,0.46255,1134,Person11_16,2427,858
1517,1044,canadaPencil,0.32516,1614,Person11_19,1894,294
1518,828,cupcakePaper,0.27918000000000004,1520,Person11_19,800,978
1519,780,pinkCandle,0.33314,614,Person11_19,2134,54
1520,1302,sign,0.64507,1627,Person11_19,1907,6
1521,1344,silverStraw,0.25786,2160,Person11_19,1854,6
1522,1320,cupcakePaper,0.31401,1907,Person11_8,1187,174
1523,1614,sign,0.28003,894,Person11_8,14,24
1524,690,cloudSign,0.39161999999999997,947,Person11_10,1667,606
1525,1062,cupcakePaper,0.28643,1134,Person11_10,1574,438
1526,384,eyeball,0.40625,974,Person11_10,1627,396
1527,552,pinkCandle,0.35623,360,Person11_10,1987,690
1528,1470,sign,0.45009,894,Person11_10,1427,90
1529,450,eyeball,0.25094,1094,Person11_4,1880,1266
1530,810,partyFavor,0.38321,1574,Person11_4,1067,996
1531,516,pinkCandle,0.31916,374,Person11_4,2267,576
1532,1638,sign,0.5423399999999999,1240,Person11_4,1814,132
1533,1266,cupcakePaper,0.34297,1920,Person11_5,1747,204
1534,1086,sign,0.4977,1174,Person11_5,707,6
1535,1302,silverStraw,0.4186,2160,Person11_5,480,36
1536,672,cloudSign,0.43488999999999994,1240,Person11_29,1534,1134
1537,1368,sign,0.36025999999999997,1334,Person11_29,2680,438
1538,660,hairClip,0.28543,907,Person11_29,3107,1146
1539,522,pinkCandle,0.47936999999999996,387,Person11_17,1654,318
1540,1362,sign,0.5393600000000001,1280,Person11_17,1214,6
1541,1464,yellowBag,0.3824,1867,Person11_17,14,96
1542,414,eyeball,0.39409,1027,Person11_3,1067,630
1543,630,cloudSign,0.27384000000000003,1107,Person11_20,720,636
1544,1236,cupcakePaper,0.40412,1814,Person11_20,2094,6
1545,516,pinkCandle,0.30364,400,Person11_20,1067,72
1546,948,sign,0.52341,1054,Person11_20,747,6
1547,240,lavenderDie,0.5314300000000001,320,Person11_20,2240,972
1548,1104,cupcakePaper,0.33546,1694,Person11_7,1854,666
1549,1266,sign,0.46876999999999996,1000,Person11_7,1640,6
1550,1146,yellowBag,0.28367,2294,Person11_7,14,510
1551,1608,canadaPencil,0.26247,1094,Person11_18,1867,198
1552,684,pinkCandle,0.47603999999999996,347,Person11_18,2227,750
1553,1542,sign,0.575,1094,Person11_18,1614,48
1554,1446,yellowBag,0.45386000000000004,2334,Person11_18,14,234
1555,540,pinkCandle,0.28603,360,Person11_22,1960,822
1556,1368,sign,0.52687,1107,Person11_22,1014,438
1557,588,cloudSign,0.29628000000000004,1414,Person11_14,14,6
1558,882,cupcakePaper,0.31732,1494,Person11_14,2520,924
1559,1638,sign,0.34343,720,Person11_14,1787,6
1560,1062,cupcakePaper,0.28943,1987,Person11_21,1707,744
1561,1578,sign,0.35841,1267,Person11_21,947,162
1562,846,cloudSign,0.47428000000000003,1147,Person11_27,1267,534
1563,702,pinkCandle,0.32048000000000004,307,Person11_27,1974,360
1564,1350,sign,0.39348,1227,Person11_27,94,456
1565,378,blueSunglasses,0.26531,1160,Person11_27,1280,642
1566,678,cloudSign,0.25928,1294,Person11_1,2054,480
1567,882,cupcakePaper,0.31496,1400,Person11_1,14,6
1568,384,eyeball,0.27138,920,Person11_1,2520,648
1569,804,metalKey,0.29804,1640,Person11_1,1894,558
1570,684,partyFavor,0.42572,1920,Person11_1,1174,6
1571,654,pinkCandle,0.25522,400,Person11_1,2814,120
1572,1362,sign,0.53333,934,Person11_1,2534,6
1573,794,eyeball,0.27843,1062,Person4_6,1640,333
1574,1316,pumpkinNotes,0.5483600000000001,2232,Person4_6,1613,545
1575,900,stickerBox,0.46328,861,Person4_6,2312,938
1576,1376,birdCall,0.5263399999999999,1694,Person4_3,1586,840
1577,1036,cloudSign,0.41708999999999996,1022,Person4_3,1640,1014
1578,877,metalKey,0.26455,1694,Person4_3,740,938
1579,1036,partyFavor,0.33718000000000004,1654,Person4_3,753,8
1580,1187,pumpkinNotes,0.32985,1371,Person4_3,2648,303
1581,1611,sign,0.44696,1076,Person4_3,2971,666
1582,825,birdCall,0.55883,1694,Person4_1,1022,8
1583,893,cloudSign,0.35878000000000004,767,Person4_1,1788,1074
1584,567,eyeball,0.35265,941,Person4_1,2258,930
1585,825,metalKey,0.44678,1344,Person4_1,1183,794
1586,1150,pumpkinNotes,0.32500999999999997,1479,Person4_1,1412,1119
1587,2102,sign,0.5142100000000001,1197,Person4_1,121,8
1588,273,blueSunglasses,0.31740999999999997,914,Person4_1,1976,1074
1589,998,hairClip,0.34253,1008,Person4_1,1667,734
1590,1195,birdCall,0.40384000000000003,1707,Person4_25,740,598
1591,1172,canadaPencil,0.28488,2057,Person4_25,874,764
1592,605,cloudSign,0.27986,726,Person4_25,1519,719
1593,681,eyeball,0.70853,1156,Person4_25,417,885
1594,741,pinkCandle,0.30179,377,Person4_25,1680,673
1595,144,blueSunglasses,0.28274,726,Person4_25,363,1301
1596,348,lavenderDie,0.3438,417,Person4_25,229,1203
1597,1051,cloudSign,0.32687,1156,Person4_11,1573,515
1598,537,eyeball,0.34811,1318,Person4_11,1519,961
1599,651,pinkCandle,0.30696,417,Person4_11,820,1376
1600,1059,redWhistle,0.26395,1452,Person4_11,1680,189
1601,1074,sign,0.27351,1089,Person4_11,471,1203
1602,409,lavenderDie,0.67671,336,Person4_11,1963,998
1603,893,cloudSign,0.39248,1049,Person4_9,1035,590
1604,613,eyeball,0.46423000000000003,1062,Person4_9,1627,915
1605,953,metalKey,0.31040999999999996,1855,Person4_9,941,575
1606,945,pinkCandle,0.39809,377,Person4_9,1129,424
1607,908,pumpkinNotes,0.3668,1331,Person4_9,1210,1369
1608,1104,redWhistle,0.29713,1533,Person4_9,1371,159
1609,348,blueSunglasses,0.39738,1170,Person4_9,1573,1195
1610,976,hairClip,0.3575,1210,Person4_9,1560,250
1611,1210,birdCall,0.33218000000000003,1694,Person4_14,1022,431
1612,832,cloudSign,0.32779,780,Person4_14,1748,779
1613,537,eyeball,0.28062,847,Person4_14,2285,628
1614,772,pinkCandle,0.27455,336,Person4_14,1707,681
1615,1701,pumpkinNotes,0.32905,1963,Person4_14,874,356
1616,976,birdCall,0.25103000000000003,1385,Person4_10,888,1301
1617,628,eyeball,0.37858,1103,Person4_10,1022,1543
1618,1119,sign,0.27103,686,Person4_10,955,1157
1619,371,lavenderDie,0.29988000000000004,363,Person4_10,1103,212
1620,1323,yellowBag,0.33134,2312,Person4_10,1734,8
1621,855,birdCall,0.42937,1573,Person4_2,793,8
1622,945,cloudSign,0.34076,1304,Person4_2,336,1331
1623,613,eyeball,0.39476999999999995,1143,Person4_2,1304,764
1624,961,metalKey,0.49622,1842,Person4_2,377,726
1625,1059,pumpkinNotes,0.2651,1533,Person4_2,1089,1172
1626,711,redWhistle,0.33553,1425,Person4_2,847,38
1627,1392,sign,0.49706999999999996,874,Person4_2,296,885
1628,242,blueSunglasses,0.33704,888,Person4_2,1707,1082
1629,1429,cupcakePaper,0.25892,1398,Person4_13,2648,174
1630,1142,partyFavor,0.35944,1412,Person4_13,861,983
1631,658,pinkCandle,0.34858,229,Person4_13,1197,401
1632,1777,sign,0.44371000000000005,982,Person4_13,1103,144
1633,1346,trophy,0.32394,1815,Person4_13,377,386
1634,1860,yellowBag,0.34936,2151,Person4_13,1896,8
1635,1974,canadaPencil,0.5178699999999999,2326,Person4_21,726,38
1636,507,eyeball,0.3784,1076,Person4_21,2178,318
1637,961,metalKey,0.34359,1546,Person4_21,820,893
1638,1429,noisemaker,0.33123,2258,Person4_21,444,499
1639,802,pinkCandle,0.37787,363,Person4_21,2554,333
1640,1800,sign,0.4683,1331,Person4_21,1519,462
1641,1550,silverStraw,0.35261,2971,Person4_21,955,99
1642,1437,vancouverCards,0.25734,2245,Person4_21,1613,326
1643,295,blueSunglasses,0.3028,1492,Person4_21,834,1218
1644,310,lavenderDie,0.46603999999999995,350,Person4_21,3132,401
1645,923,canadaPencil,0.25821,2326,Person4_23,1304,8
1646,1051,cloudSign,0.25947,1358,Person4_23,1452,499
1647,832,pinkCandle,0.43701999999999996,605,Person4_23,2433,953
1648,1739,sign,0.37590999999999997,1465,Person4_23,2299,492
1649,484,blueSunglasses,0.29628000000000004,1250,Person4_23,1533,1611
1650,1505,yellowBag,0.26947,1627,Person4_23,2420,772
1651,1354,birdCall,0.32456999999999997,2084,Person4_19,14,371
1652,530,eyeball,0.34201,820,Person4_19,2339,295
1653,998,metalKey,0.28744000000000003,1600,Person4_19,2218,61
1654,756,pinkCandle,0.45535,350,Person4_19,2823,189
1655,1762,pumpkinNotes,0.57786,1815,Person4_19,108,318
1656,1467,yellowBalloon,0.70131,1922,Person4_19,54,318
1657,288,blueSunglasses,0.27005999999999997,1035,Person4_19,2218,409
1658,1444,yellowBag,0.30921,2675,Person4_19,1103,643
1659,1233,pumpkinNotes,0.35361,1922,Person4_7,1761,8
1660,976,hairClip,0.30503,1143,Person4_7,1855,1225
1661,394,lavenderDie,0.3264,390,Person4_7,2218,1490
1662,832,stickerBox,0.28131999999999996,995,Person4_7,2245,167
1663,1165,birdCall,0.52332,1909,Person4_16,928,938
